osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,name,ref,junction,width,bridge,tunnel,access
175566962,trunk,True,False,214.30974540968944,"LINESTRING (34.8120167 32.0135127, 34.8132084 32.0118715)",4,70,השבעה,44,,,,,
29253129,trunk_link,True,False,311.12359992732763,"LINESTRING (34.8120167 32.0135127, 34.8122283 32.0131131, 34.8124214 32.0127265, 34.8124982 32.0125611, 34.8125556 32.0124354, 34.8125985 32.0123125, 34.8126307 32.0122034, 34.8126484 32.0121017, 34.8126591 32.0120153, 34.8126623 32.01189, 34.8126543 32.0117856, 34.812639 32.0116566, 34.8126146 32.011512, 34.8125767 32.0113, 34.81251 32.0108262)",1,,,,,,,,
139011063,trunk,True,False,11.604327343836129,"LINESTRING (34.805726 32.0211909, 34.8058049 32.0211108)",4,70,השבעה,44,,,,,
150975370,secondary,True,False,25.041124411270477,"LINESTRING (34.805726 32.0211909, 34.8056351 32.0211351, 34.8055138 32.0210555)",3,,המלאכה,,,,,,
1214721436,secondary,True,False,122.00264263319046,"LINESTRING (34.7952466 32.0103962, 34.7962243 32.0111149)",2,,המלאכה,,,,,,
30715265,tertiary,True,False,9.98395507588158,"LINESTRING (34.7923095 32.0084781, 34.7923021 32.0085224, 34.792277 32.0085621)",,,,,roundabout,,,,
30715395,residential,False,False,87.22669913542839,"LINESTRING (34.7923095 32.0084781, 34.7928713 32.0084626, 34.7932341 32.0084526)",1,,ששת הימים,,,,,,
30715268,tertiary,False,False,98.67610060859705,"LINESTRING (34.7920091 32.0084585, 34.7909653 32.0085224)",,,קרן היסוד,,,,,,
30715265,tertiary,True,False,9.850201197021356,"LINESTRING (34.7920091 32.0084585, 34.7920276 32.008417, 34.7920615 32.0083834)",,,,,roundabout,,,,
1227518040,tertiary,True,False,16.50637089758046,"LINESTRING (34.7848893 32.0088765, 34.7850534 32.0088248)",,,קרן היסוד,,,,,,
118761048,tertiary,True,False,81.36805356351209,"LINESTRING (34.7848893 32.0088765, 34.7848077 32.0081654, 34.7848055 32.0081482)",,,דוד אלעזר,,,,,,
182916617,residential,True,False,12.015073238297871,"LINESTRING (34.7834161 32.0128962, 34.783536 32.0129328)",,,יוחאי בן נון,,,,,,
30715816,residential,True,False,10.933934040043464,"LINESTRING (34.7834161 32.0128962, 34.7834257 32.0129193, 34.7834279 32.0129439, 34.7834225 32.012968, 34.7834099 32.0129902)",,,,,roundabout,,,,
182823406,residential,False,False,91.03520974012908,"LINESTRING (34.783359 32.0138484, 34.7832987 32.0130313)",,,גאולים,,,,,,
182823406,residential,False,True,44.02185651301681,"LINESTRING (34.783359 32.0138484, 34.7833824 32.0142438)",,,גאולים,,,,,,
51432215,residential,False,True,171.6915865148079,"LINESTRING (34.783359 32.0138484, 34.7828247 32.0139217, 34.7826467 32.0139884, 34.7817641 32.0145237)",,,הסיגלון,,,,,,
"[175566963, 175566966]",trunk,True,False,268.428264469559,"LINESTRING (34.8083701 32.0183026, 34.8085527 32.0180929, 34.8087619 32.017853, 34.8093824 32.0170831, 34.8099704 32.0163069)","['4', '5']",70,השבעה,44,,,,,
32015895,secondary,True,False,33.19745422156771,"LINESTRING (34.7648627 32.0145865, 34.7645203 32.0146561)",2,,יוספטל,,,,,,
108753088,tertiary,True,False,13.566638950905922,"LINESTRING (34.7648627 32.0145865, 34.7648611 32.0144645)",,,אילת,,,,,,
221776829,tertiary,False,True,16.251257451953418,"LINESTRING (34.7699155 32.0136366, 34.7699421 32.013781)",,,חיים ויצמן,,,,,,
32016967,tertiary,False,False,220.28959019330028,"LINESTRING (34.7699155 32.0136366, 34.769849 32.0132334, 34.7698377 32.0131535, 34.7698157 32.013016, 34.7696013 32.0116735)",,,יוסף אהרונוביץ',,,,,,
283787765,secondary,True,False,148.53847514884328,"LINESTRING (34.7699155 32.0136366, 34.7707638 32.0135235, 34.7709599 32.0134974, 34.7713811 32.0134412, 34.7714596 32.0134307, 34.7714718 32.0134291)",2,,אליעזר הופין,,,,,,
50849398,residential,False,False,62.371980044122466,"LINESTRING (34.7686121 32.0138505, 34.7685115 32.0132961)",,,חיים סירני,,,,,,
283787765,secondary,True,False,125.17111785076872,"LINESTRING (34.7686121 32.0138505, 34.7699155 32.0136366)",2,,אליעזר הופין,,,,,,
32016101,secondary,True,False,11.206977933798596,"LINESTRING (34.7648611 32.0144645, 34.7649768 32.0144414)",3,,אליעזר הופין,,,,,,
108753088,tertiary,True,False,46.64901413823987,"LINESTRING (34.7648611 32.0144645, 34.76486 32.0143777, 34.7648558 32.014045)",,,אילת,,,,,,
1375674398,tertiary,True,False,19.827847024126115,"LINESTRING (34.7750458 32.0129288, 34.7750781 32.013105)",,,יעקב פיכמן,,,,,,
32015932,secondary,True,False,274.4512852365295,"LINESTRING (34.7750458 32.0129288, 34.7751149 32.0129147, 34.7753262 32.0128716, 34.7758322 32.0127684, 34.7778245 32.0122001)",3,,גולדה מאיר,,,,,,
182916586,secondary,True,False,18.66871790029716,"LINESTRING (34.7750781 32.013105, 34.7749837 32.0131224, 34.7748846 32.0131406)",3,,גולדה מאיר,,,,,,
"[32016409, 1375674398]",tertiary,True,False,80.72867924507838,"LINESTRING (34.7750781 32.013105, 34.7750832 32.0131533, 34.7750964 32.0132787, 34.7751011 32.0133239, 34.7751809 32.0138256)",,,יעקב פיכמן,,,,,,
28536320,secondary,True,False,30.00847879823622,"LINESTRING (34.7850344 32.0105627, 34.7847282 32.0106363)",2,,גולדה מאיר,,,,,,
118761048,tertiary,True,False,19.262208552746177,"LINESTRING (34.7850344 32.0105627, 34.7850239 32.0103897)",,,דוד אלעזר,,,,,,
32016261,secondary,True,False,11.515759197673365,"LINESTRING (34.7922621 32.010143, 34.7921402 32.0101494)",,,אלופי צהל,,,,,,
110098361,tertiary,True,False,12.271541165758453,"LINESTRING (34.7922621 32.010143, 34.792249 32.0100332)",,,משה שרת,,,,,,
48770475,secondary,True,False,410.58258783107976,"LINESTRING (34.7879685 32.0178274, 34.7884098 32.0172842, 34.788666 32.0170321, 34.7889139 32.0168219, 34.7889966 32.0167529, 34.7893533 32.0164551, 34.7894812 32.0163484, 34.7897035 32.0161514, 34.7900039 32.0158784, 34.7902888 32.0156458, 34.7905759 32.0154063, 34.7908817 32.0150952)",2,,שדרות ירושלים,,,,,,
109864746,residential,True,False,143.00536530137637,"LINESTRING (34.7879685 32.0178274, 34.7874122 32.017347, 34.7868223 32.0169929)",,,העצמון,,,,,,
48770475,secondary,True,False,108.76880395258145,"LINESTRING (34.7864276 32.0211205, 34.7867881 32.0201913)",2,,שדרות ירושלים,,,,,,
48770475,secondary,True,False,22.317781332926966,"LINESTRING (34.7858138 32.0222919, 34.7859161 32.0221109)",2,,שדרות ירושלים,,,,,,
109814528,tertiary,False,False,23.458470079675923,"LINESTRING (34.7858138 32.0222919, 34.7855803 32.022219)",,50,סוקולוב,,,,,,
109814528,tertiary,False,True,21.980241394251383,"LINESTRING (34.7858138 32.0222919, 34.7860254 32.0223749)",,50,סוקולוב,,,,,,
46870891,secondary,True,False,18.43281102031421,"LINESTRING (34.7840769 32.0248731, 34.7841758 32.0247301)",2,,יוסף סרלין,,,,,,
109864760,secondary_link,True,False,20.91637969046456,"LINESTRING (34.7840769 32.0248731, 34.7842063 32.0250259)",,,,,,,,,
51324650,secondary,True,False,29.788183078528675,"LINESTRING (34.7792679 32.027983, 34.7795782 32.0279324)",,,מקווה ישראל,,,,,,
50804220,tertiary,True,False,16.921503647430406,"LINESTRING (34.7792679 32.027983, 34.7792522 32.0280148, 34.7792366 32.0280411, 34.7792096 32.0280774, 34.7791738 32.0281111)",2,,יהושע חנקין,,,,,,
58732111,secondary,True,False,165.4510331378415,"LINESTRING (34.7770325 32.028328, 34.7781788 32.0281511, 34.7787592 32.0280615)",2,,מקווה ישראל,,,,,,
267758181,tertiary,True,False,23.164362431895277,"LINESTRING (34.7770325 32.028328, 34.7769836 32.0282468, 34.7769412 32.0281353)",1,,אריה שנקר,,,11.9,,,
32016348,tertiary,True,False,16.06604326781053,"LINESTRING (34.7736665 32.004498, 34.7736772 32.0046422)",,,ראובן ברקת,,,,,,
229920457,tertiary,True,False,20.48180333713487,"LINESTRING (34.7736665 32.004498, 34.773883 32.0045129)",,,שדרות מנחם בגין,,,,,,
229913533,tertiary,True,False,18.322101118558514,"LINESTRING (34.7777836 32.0047768, 34.7778492 32.0049319)",1,,פנחס אילון,,,,,,
229920457,tertiary,True,False,634.2196055187445,"LINESTRING (34.7777836 32.0047768, 34.7811217 32.0049096, 34.7843759 32.0050753, 34.7844997 32.0050834)",,,שדרות מנחם בגין,,,,,,
50823041,residential,False,False,11.333962219959007,"LINESTRING (34.789906 32.0048607, 34.7899544 32.004954)",,,גבעת התחמושת,,,,,,
50823041,residential,False,True,92.76634850093122,"LINESTRING (34.789906 32.0048607, 34.7897572 32.0044203, 34.7896463 32.0040561)",,,גבעת התחמושת,,,,,,
961366014,tertiary,True,False,168.06968368975205,"LINESTRING (34.789906 32.0048607, 34.7910217 32.0048091, 34.7915612 32.0047712, 34.7916843 32.0047609)",,,מפרץ שלמה,,,,,,
961366014,tertiary,True,False,126.68123148501209,"LINESTRING (34.7955698 32.0047581, 34.7958666 32.0048014, 34.7961469 32.0048477, 34.7968802 32.0050062)",,,מפרץ שלמה,,,,,,
118761071,residential,False,True,56.195227752044474,"LINESTRING (34.771228 32.0092652, 34.771799 32.0091204)",,,פנחס לבון,,,,,,
118761041,residential,True,False,85.54867119979826,"LINESTRING (34.771228 32.0092652, 34.7711455 32.0089647, 34.7709859 32.0085242)",,,ביאליק,,,,,,
118761071,residential,False,False,189.97069944419079,"LINESTRING (34.771228 32.0092652, 34.7698818 32.0095743, 34.7698385 32.0095831, 34.7692827 32.0097099)",,,פנחס לבון,,,,,,
162154682,tertiary,False,False,125.41035403891924,"LINESTRING (34.7684113 32.0067256, 34.7681941 32.0056129)",2,,יוסף אהרונוביץ',,,,,,
162154682,tertiary,False,True,178.5146336277376,"LINESTRING (34.7684113 32.0067256, 34.7688825 32.0082805)",2,,יוסף אהרונוביץ',,,,,,
156002400,residential,False,False,72.93562170851264,"LINESTRING (34.7684113 32.0067256, 34.7684691 32.0067141, 34.7688439 32.0066392, 34.76887 32.006634, 34.7691642 32.0065752)",,,הציונות,,,,,,
229920457,tertiary,True,False,6.0575310470747015,"LINESTRING (34.7680424 32.004676, 34.7680847 32.004635)",,,שדרות מנחם בגין,,,,,,
109805936,tertiary,False,False,100.54107461305058,"LINESTRING (34.7680424 32.004676, 34.7678013 32.0047074, 34.7673922 32.004739, 34.766985 32.0047895)",,,מקס וג'סי כהן,,,,,,
156497845,tertiary,True,False,64.72551701671586,"LINESTRING (34.7680424 32.004676, 34.7679692 32.0041347, 34.7679642 32.0040977)",2,,יוסף אהרונוביץ',,,,,,
109805916,tertiary,True,False,102.91592715169477,"LINESTRING (34.7844997 32.0050834, 34.7855911 32.0050753)",,,מפרץ שלמה,,,,,,
229913537,tertiary,True,False,16.00896539940803,"LINESTRING (34.7844997 32.0050834, 34.7846001 32.0051995)",,,דוד אלעזר,,,,,,
"[229920444, 50823044]",residential,False,True,802.8956288690563,"LINESTRING (34.7844997 32.0050834, 34.7842815 32.0034831, 34.7841168 32.0021771, 34.7839572 32.0009121, 34.7839486 32.0006705, 34.7839916 32.000443, 34.7840586 32.0003862, 34.7841847 32.0002793, 34.7845173 32.0001792, 34.786898 32.0000877)",,,"['אשדוד', 'דוד אלעזר']",,,,,,
182823410,tertiary,True,False,191.57822472523623,"LINESTRING (34.7841211 32.0155492, 34.7825027 32.016591)",2,,ההסתדרות,,,,,,
205279866,tertiary,True,False,15.274246932872948,"LINESTRING (34.7841211 32.0155492, 34.7840938 32.0154138)",2,,גאולים,,,,,,
186823717,tertiary,False,True,9.31512982283979,"LINESTRING (34.7963796 32.0232598, 34.7964519 32.0233169)",2,,פרופסור שור,,,,,,
303437263,tertiary,True,False,199.86386283485422,"LINESTRING (34.7963796 32.0232598, 34.797826 32.0219457)",2,,הפלד,,,,,,
186823717,tertiary,False,False,241.56807775789332,"LINESTRING (34.7963796 32.0232598, 34.7960398 32.0229665, 34.7945842 32.0217098)",2,,פרופסור שור,,,,,,
177018976,residential,False,True,194.55558874893543,"LINESTRING (34.7945842 32.0217098, 34.7946233 32.0216784, 34.7960828 32.0205069)",,,הנפח,,,,,,
186823717,tertiary,False,False,117.7794415141176,"LINESTRING (34.7945842 32.0217098, 34.7938092 32.0211439, 34.7936265 32.0210304)",2,,פרופסור שור,,,,,,
186823717,tertiary,False,True,241.56807775789332,"LINESTRING (34.7945842 32.0217098, 34.7960398 32.0229665, 34.7963796 32.0232598)",2,,פרופסור שור,,,,,,
186823712,tertiary,True,False,51.38596004335592,"LINESTRING (34.7918797 32.0201645, 34.791394 32.0199548)",2,,פרופסור שור,,,,,,
186823718,residential,False,True,9.575354588521094,"LINESTRING (34.7918797 32.0201645, 34.791937 32.0200934)",,,ירמיהו,,,,,,
32017813,tertiary,True,False,68.32065628712475,"LINESTRING (34.7876924 32.018208, 34.7870772 32.0178833)",2,,גאולים,,,,,,
48770475,secondary,True,False,13.525641051924778,"LINESTRING (34.7876924 32.018208, 34.787767 32.0181041)",2,,שדרות ירושלים,,,,,,
175566958,trunk,True,False,14.313605143147457,"LINESTRING (34.7974757 32.028168, 34.7975875 32.0280809)",6,70,השבעה,44,,,,,
32017888,tertiary,True,False,17.946229191987882,"LINESTRING (34.7974757 32.028168, 34.7974145 32.0281079, 34.7973536 32.0280442)",,,המכתש,,,,,,
658694340,tertiary,True,False,18.321245534377116,"LINESTRING (34.8090029 32.0146075, 34.8088222 32.0146681)",2,,המרכבה,,,,,,
"[1214716320, 658694342]",trunk_link,True,False,204.22349185821164,"LINESTRING (34.8090029 32.0146075, 34.8091874 32.014854, 34.809549 32.0151509, 34.8099605 32.0155048, 34.8100505 32.0155613, 34.8101312 32.0156023, 34.8101885 32.0156215, 34.8102459 32.0156344, 34.8103218 32.0156327, 34.8103962 32.0156088, 34.8104706 32.0155683, 34.8105174 32.0155341, 34.8105931 32.0154793)","['1', '2']",,,,,,,,
1024881144,residential,True,False,19.903812221916393,"LINESTRING (34.8024593 32.0037641, 34.8023601 32.0039221)",,,,,,,,,
"[107104682, 48770533]",residential,False,True,339.2287401591264,"LINESTRING (34.8024593 32.0037641, 34.8029659 32.0033048, 34.8031535 32.0031468, 34.8033337 32.0030267, 34.8034586 32.0030009, 34.8035691 32.0030232, 34.8036934 32.0031327, 34.8038148 32.0032458, 34.8041457 32.0035542, 34.8042876 32.0036864, 34.8046261 32.0040018, 34.8049998 32.00435)",,,הכישור,,,,,,
97143348,tertiary,True,False,12.181958737119603,"LINESTRING (34.7633186 32.023231, 34.7634478 32.0232328)",2,,שדרות דב הוז,,,,,,
33900368,tertiary_link,True,False,24.110269816469906,"LINESTRING (34.7633186 32.023231, 34.7632686 32.0233419, 34.7631804 32.0234054)",,,,,,,,,
136209425,tertiary,True,False,14.032310158050224,"LINESTRING (34.7633292 32.0234023, 34.7631804 32.0234054)",2,,שדרות דב הוז,,,,,,
97143350,tertiary_link,True,False,22.339712802279017,"LINESTRING (34.7633292 32.0234023, 34.763377 32.0232961, 34.7634478 32.0232328)",,,,,,,,,
660595706,motorway_link,True,False,17.567407135951502,"LINESTRING (34.7611734 32.0232678, 34.7611425 32.0234236)",,,,,,,,,
46888157,tertiary,True,False,27.81080046234863,"LINESTRING (34.7611734 32.0232678, 34.7613061 32.0232629, 34.7613866 32.02326, 34.7614681 32.0232566)",2,,שדרות דב הוז,,,,,,
46888157,tertiary,True,False,9.583029324492623,"LINESTRING (34.7614681 32.0232566, 34.7615697 32.0232539)",2,,שדרות דב הוז,,,,,,
660595706,motorway_link,True,False,35.133718864648515,"LINESTRING (34.7611425 32.0234236, 34.7611291 32.023472, 34.7610604 32.0237318)",,,,,,,,,
46870689,tertiary,True,False,26.83518404784204,"LINESTRING (34.7700474 32.0234207, 34.7700304 32.0234793, 34.7699947 32.0235314, 34.7699573 32.0235615, 34.769943 32.023573, 34.7698797 32.0236005)",,,כיכר סטרומה,,roundabout,,,,
"[408943857, 408943858, 43581358]",motorway_link,True,False,387.32207910393265,"LINESTRING (34.7604459 32.0054929, 34.759743 32.003555, 34.7596047 32.0031933, 34.7594595 32.0027734, 34.7594185 32.0026549, 34.7592645 32.0021573)","['3', '1', '2']",,,,,,,,
"[29013456, 165067250, 71529100]",secondary,True,False,182.44463806000056,"LINESTRING (34.7610011 32.0012697, 34.7600629 32.001356, 34.7591982 32.0014424, 34.7590788 32.0014555)",3,50,"['קוממיות', 'משה דיין']",,,,yes,,
43581369,motorway_link,True,False,14.89803864641966,"LINESTRING (34.7610253 32.0011373, 34.7610011 32.0012697)",,,,,,,,,
29013418,secondary,True,False,140.67262621201053,"LINESTRING (34.7610253 32.0011373, 34.7611151 32.0011311, 34.7614969 32.0011039, 34.7625132 32.0010465)",4,,משה דיין,,,,,,
202344040,motorway,True,False,703.3243468954909,"LINESTRING (34.7606686 32.026738, 34.7606568 32.0290465, 34.7606104 32.029594, 34.7605661 32.0299206, 34.7605071 32.0302169, 34.7600503 32.0318856, 34.7600029 32.0320741, 34.7599337 32.0323359, 34.7598369 32.0329952)",3,70,איילון צפון,20,,,,,
33900138,motorway_link,True,False,57.436834803634646,"LINESTRING (34.762378 32.0144665, 34.7623853 32.0148663, 34.7623908 32.0149829)",,,,,,,,,
43705459,motorway_link,True,False,76.84286919440814,"LINESTRING (34.762378 32.0144665, 34.7624591 32.0146348, 34.7624912 32.0146985, 34.7625395 32.0147667, 34.7625985 32.0148213, 34.7627004 32.0148532, 34.7629278 32.014877)",1,,,,,,,,
108753090,tertiary,True,False,21.867551895280005,"LINESTRING (34.7653693 32.0234265, 34.765332 32.0232324)",2,,המעפילים,,,,,,
33900327,tertiary,True,False,192.3511321424765,"LINESTRING (34.7653693 32.0234265, 34.7653386 32.0234264, 34.7634268 32.0234053, 34.7633292 32.0234023)",2,,שדרות דב הוז,,,,,,
46870960,tertiary,True,False,8.29421051748754,"LINESTRING (34.7763275 32.0227432, 34.7763192 32.0227055, 34.7763112 32.0226699)",2,,אריה שנקר,,,,,,
114198878,tertiary,True,False,175.03798707888052,"LINESTRING (34.7763275 32.0227432, 34.775997 32.0227514, 34.7750412 32.0227825, 34.7747284 32.0228038, 34.7744737 32.0228231)",1,50,סוקולוב,,,,,,
43955718,tertiary,True,False,11.054797924749124,"LINESTRING (34.7743366 32.0228288, 34.7742961 32.0227355)",2,,שדרות קוגל,,,,,,
158606797,tertiary,True,False,51.177598781579164,"LINESTRING (34.7743366 32.0228288, 34.7741656 32.0228324, 34.7737938 32.0228323)",,50,סוקולוב,,,,,,
170472860,residential,False,False,74.90614703965986,"LINESTRING (34.7554735 32.0025165, 34.7562524 32.0023842)",,,,,,,,,
170472860,residential,False,True,74.90614703965986,"LINESTRING (34.7562524 32.0023842, 34.7554735 32.0025165)",,,,,,,,,
28614563,trunk_link,True,False,140.26547716330643,"LINESTRING (34.8132084 32.0118715, 34.8130652 32.0118122, 34.8129901 32.0117667, 34.812915 32.0117167, 34.8128361 32.0116377, 34.8127825 32.011565, 34.8127181 32.0114649, 34.8126645 32.0113512, 34.8126215 32.0112329, 34.8125786 32.0110782, 34.8125411 32.0109372, 34.81251 32.0108262)",1,,,,,,,,
136209428,tertiary,True,False,7.844308325932866,"LINESTRING (34.765332 32.0232324, 34.7654152 32.0232315)",2,,שדרות דב הוז,,,,,,
46870697,tertiary,True,False,64.26682506962425,"LINESTRING (34.765332 32.0232324, 34.7652901 32.0229722, 34.7652402 32.0226597)",,,אילת,,,,,,
46870689,tertiary,True,False,11.065721086712262,"LINESTRING (34.7696515 32.0232284, 34.7697027 32.0232041, 34.7697592 32.0231906)",,,כיכר סטרומה,,roundabout,,,,
33900327,tertiary,True,False,58.08004741727337,"LINESTRING (34.7695707 32.0234875, 34.7693866 32.0234278, 34.7689677 32.0234215)",2,,שדרות דב הוז,,,,,,
46870689,tertiary,True,False,32.15941520372071,"LINESTRING (34.7695707 32.0234875, 34.7695513 32.0234322, 34.7695502 32.0233745, 34.7695676 32.0233184, 34.7696022 32.0232685, 34.7696515 32.0232284)",,,כיכר סטרומה,,roundabout,,,,
